title,authors,year,url,abstract,venue,source
Adopting Artificial Intelligence to Strengthen Legal Safeguards in Blockchain Smart Contracts: A Strategy to Mitigate Fraud and Enhance Digital Transaction Security,"Hassen Louati, Ali Louati, Abdulla Almekhlafi, Maha ElSaka, M. Alharbi, Elham Kariri, Youssef N. Altherwy",2024,https://www.semanticscholar.org/paper/a492df61113848bbb0d5cf6a4f7d904d60130026,"As blockchain technology increasingly underpins digital transactions, smart contracts have emerged as a pivotal tool for automating these transactions. While smart contracts offer efficiency and security, their automation introduces significant legal challenges. Detecting and preventing fraud is a primary concern. This paper proposes a novel application of artificial intelligence (AI) to address these challenges. We will develop a machine learning model, specifically a Convolutional Neural Network (CNN), to effectively detect and mitigate fraudulent activities within smart contracts. The AI model will analyze both textual and transactional data from smart contracts to identify patterns indicative of fraud. This approach not only enhances the security of digital transactions on blockchain platforms but also informs the development of legal standards and regulatory frameworks necessary for governing these technologies. By training on a dataset of authentic and fraudulent contract examples, the proposed AI model is expected to offer high predictive accuracy, thereby supporting legal practitioners and regulators in real-time monitoring and enforcement. The ultimate goal of this project is to contribute to legal scholarship by providing a robust technological tool that aids in preventing cybercrimes associated with smart contracts, thereby laying a foundation for future legal research and development at the intersection of law, technology, and security.",Journal of Theoretical and Applied Electronic Commerce Research,Semantic Scholar
Strengthening the Security of Smart Contracts through the Power of Artificial Intelligence,M. Krichen,2023,https://www.semanticscholar.org/paper/e28922eec2a0b3cff0100f538d7259acd4274e94,"Smart contracts (SCs) are digital agreements that execute themselves and are stored on a blockchain. Despite the fact that they offer numerous advantages, such as automation and transparency, they are susceptible to a variety of assaults due to their complexity and lack of standardization. In this paper, we investigate the use of artificial intelligence (AI) to improve SC security. We provide an overview of Smart Contracts (SCs) and blockchain technology, as well as a discussion of possible SC-based attacks. Then, we introduce various AI categories and their applications in cybersecurity, followed by a thorough analysis of how AI can be used to enhance SC security. We also highlight the open questions and future directions of research in this field. Our research demonstrates that AI can provide an effective defense against assaults on SCs and contribute to their security and dependability. This article lays the groundwork for future research in the field of AI for SC security.",De Computis,Semantic Scholar
Privacy-preserving in smart contracts using blockchain and artificial intelligence for cyber risk measurements,"B. D. Deebak, F. Al-turjman",2021,https://www.semanticscholar.org/paper/5d307ddd5cd9897aaf53ac03c936d963aebe09ec,,Journal of Information Security and Applications,Semantic Scholar
"Trusted Data Exchange and Blockchain Smart Contracts in the ""the Belt and Road"" Digital Economy Cooperation",Zelin Wu,2024,https://www.semanticscholar.org/paper/c34b7a5064c3abc955fc12c6ca76556f716312c9,": With the acceleration of global integration and the rapid development of technology, economic cooperation and regional integration have become an undeniable force in today's world development. Especially with the implementation of the ""the Belt and Road"" strategy, this development trend is more obvious. This plan was launched by China in 2013 with the aim of promoting infrastructure construction, trade cooperation, cultural exchanges, common development, and regional cooperation in Asia, Europe, Africa, and other regions. With the rapid development of Internet, big data, artificial intelligence and other technologies, the digital economy has become an important driving force for the development of the world economy. It has not only changed the operation mode of traditional industries, but also spawned new industrial forms. However, in a network environment lacking trust, trustworthy communication of data is an important prerequisite for promoting active data sharing among network entities. Information security technology based on encryption technology can effectively solve problems such as data untrustworthiness and privacy leakage in information exchange. This paper focused on the trusted exchange of data in the ""the Belt and Road"" digital economic cooperation, and discussed how to solve the trust problem in data exchange with the help of blockchain smart contract technology. First, the background of the ""the Belt and Road"" initiative and the significance of digital economy development were briefly introduced. Subsequently, the challenges faced by trusted data exchange in a network environment lacking trust were analyzed, and a solution based on blockchain smart contracts was introduced. The experimental results showed that when the data block size was 1GB, the data trusted exchange system based on blockchain technology took 10 seconds, and the data transmission rate still reached 891Mbps.",Information Systems and Economics,Semantic Scholar
Enhancing Academic Credentials: The Synergy of Blockchain and Artificial Intelligence,"Avni Rustemi, Fisnik Dalipi, Vladimir Atanasovski, Aleksandar Risteski",2024,https://www.semanticscholar.org/paper/21c72b1d71d4b57e77564f825e53dd6bd4b2cee2,"The integration of Artificial Intelligence (AI) and blockchain technology (BT) into diploma generation and verification systems enables the digitalization of services in higher education institutions (HEI). These technologies have the potential to prevent misuse, protect identity and privacy, decentralize services, and automate processes. AI employs advanced pattern recognition and anomaly detection algorithms to ensure the integrity of academic certificates stored on the blockchain. By using smart contracts on the blockchain, artificial intelligence algorithms may automate and optimize the verification process, thereby diminishing the administrative load linked to validating academic qualifications. This review paper provides insights into how AI-driven algorithms can streamline the generation of digital diplomas, enhance authentication mechanisms, and mitigate fraudulent activities. Additionally, it highlights the potential of AI-powered analytics for optimizing blockchain-based systems, facilitating seamless interoperability, and ensuring trustworthiness in academic credential verification.",2024 7th International Balkan Conference on Communications and Networking (BalkanCom),Semantic Scholar
"Towards an Enterprise-Ready Implementation of Artificial Intelligence-Enabled, Blockchain-Based Smart Contracts",Philipp Brune,2020,https://www.semanticscholar.org/paper/e804673f6f5d9b113aafc217a790cbc58e93298c,"Blockchain technology and artificial intelligence (AI) are current hot topics in research and practice. However, the potentials of their combination have been studied just recently to a larger extend. While different use cases for combining AI and blockchain have been discussed, the idea of enabling blockchain-based smart contracts to perform ""smarter"" decisions by using AI or machine learning (ML) models has only been considered on the conceptual level so far. It remained open, how such AI-enabled smart contracts could be implemented in a robust way for real-world applications. Therefore, in this paper a new, enterprise-class implementation of AI-enabled smart contracts is presented and first insights regarding its feasibility are discussed.",arXiv.org,Semantic Scholar
Supply Chain Resources and Economic Security Based on Artificial Intelligence and Blockchain Multi-Channel Technology,"Dong Wang, Ao Yu",2023,https://www.semanticscholar.org/paper/1ead4c443c07bfda717bbca1b584f7016a7806b4,"With the rapid growth of social economy and the improvement of people's living standards, the logistics industry not only shows a trend of rapid development, but also faces various business risks. Therefore, supply chain management becomes particularly important. Strengthening supply chain management has become a general trend. The traditional cost-oriented supply chain management model has been unable to meet the requirements of modern enterprise development. Given that the changes in customer demand, production, and sales have not been considered, enterprise resources are easily wasted. How to build a new supply chain model driven by value and customer demand has become one of the problems that large enterprises must solve. The combination of artificial intelligence (AI) and blockchain technology (BT) can realize information sharing, risk sharing, data interaction, and other functions. Through smart contracts, the division of responsibilities among all roles in the supply chain is controlled, which makes the supply chain safer and more efficient. In this paper, the authors designed a new supply chain financial system model that can effectively reduce financial risks, improved the efficiency of capital use, and enhanced the competitiveness of enterprises. The authors compared the traditional supply chain management mode with the management mode under the combination of AI and BT. The supply chain resource and economic security management based on AI and blockchain multichannel technology was more efficient, the system security index was higher, and the internal employee satisfaction of the enterprise also increased by 5.98%. The simulation application system for the internet of things and edge computing has the characteristics of high real-time and scalability. By analyzing the differences between the internet of things and edge computing technologies in terms of device perception, communication mode, data processing, and processing performance, product manufacturing efficiency can be improved to a certain extent.",International Journal of Information Technologies and Systems Approach,Semantic Scholar
Agile Blockchain-based Risk Management Framework with Integrated Artificial Intelligence in a Supply Chain Industry,"Aniket Singh, S. Prabhu",2023,https://www.semanticscholar.org/paper/3342bbf5fb70ef9e1329f87eb68f4adad469ee3e,"The supply chain sector operates in a complex environment and faces various challenges, including fluctuations in demand, disruptions, and the requirement of adhering to regulations. The emergence of groundbreaking technologies such as blockchain, AI, and IoT is driving significant changes in the industry, resulting in improved efficiency, transparency, and security measures. This research paper has used the case-study method to develop to present a dynamic risk management framework that integrates blockchain technology and artificial intelligence. By building a distributed, decentralised ledger that records transactions safely and openly, blockchain technology can be incorporated into the supply chain sector. This framework comprises a risk association tree, smart contracts, and a risk item ledger, offering notable benefits such as enhanced risk management capabilities, operational efficiency, transparency, and potential for collaboration. However, it is essential to note that implementing this framework may involve complexity, necessitate modifications to existing processes, and introduce new risk elements.",2023 Second International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),Semantic Scholar
Juridical Overview of the Use of Smart Contracts in Indonesia as a Form of Artificial Intelligence Development,"Muhammad Rizqon Baihaiqi, Siti Ummu Adillah, Dahniarti Hasana",2022,https://www.semanticscholar.org/paper/881b34355ca40c7cc88147fa3942940b9577a959,"Apart from the problems in terms of data security in the midst of blockchain-based business development in Indonesia, it turns out that another problem in smart contracts is that the use of Smart Contracts in Indonesia is actually still a discourse among legal experts regarding the validity of smart contracts. The aims of this research are: a) To find out and analyzeimplementation of the use of smart contracts in Indonesia; b) To know and analyzeobstacles in implementing smart contracts in Indonesia and their solutions; c) To know and analyzelegal remedies that can be taken in the event of a dispute between the parties in the smart contract; d) To find out examples of deeds inthe use of smart contracts in Indonesia as a form of artificial intelligence development."" Researchers used normative research specifications with secondary data sources. Stages to find the target, then used the approach through legislation (statute approach). The results were juridical review of the use of smart contracts in Indonesia based on Article 1320 of the Civil Code.Article 1338 of the Civil Code explains that “all agreements made legally valid as law for those who make them”. One of the uses of smart contracts on Ethereum. Thereuem's smart contract has the name ERC20.Article 3 Regulation of the Commodity Futures Trading Supervisory Agency Number 5 of 2019 concerning Technical Provisions for the Implementation of the Physical Market of Crypto Assets on the Futures Exchange, Bitcoin which can be traded on the Futures Exchange.Barriers to implementing Smart Contracts in Indonesia and their solutionsimplementing ISO-based Information Security Management or the simplest following the National Institute of Standards and Technology (NIST) framework. ISO 27001:2013 is the latest ISO 27000 series released in 2013. ISO 27001:2013.Article 30 Paragraph (3) in conjunction with Article 40 Paragraph (3) of Act No. 1 of 2008 concerning Information and Electronic Transactions.",Sultan Agung Notary Law Review,Semantic Scholar
Confluence of Artificial Intelligence and Blockchain Powered Smart Contract in Finance System,"Chhaya Dubey, Dharmendra Kumar, Ashutosh Kumar Singh, V. Dwivedi",2022,https://www.semanticscholar.org/paper/0fc92fc6040c1630a9a2b912737f8128deeb64bb,"Artificial intelligence and Blockchain are two of the most important forces driving innovation today. At the point when Blockchain and AI join their assets, this gives a more significant investigation of the viability of the details of the agreement, and the work processes it manages. Consequently, the requirement for human investigation, intercession and check, is enormously diminished. Man-made intelligence alludes to the capacity of machines to grasp, think, and learn likewise to people, demonstrating the chance of utilizing PCs to mimic human knowledge. A smart contract is computer code running on a blockchain that contains a set of norms by which the smart contract’s parties’ consent to communication between one another. Examining AI integration with smart contracts that are enabled by blockchain in the enhancing finance system operations is the main objective of this endeavor. AI is added to well-established smart contracts, their efficiency increases exponentially. This article presumes that AI and blockchain enabled smart contract will have an enormous effect in future for Finance industry and Digital trading.","2022 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",Semantic Scholar
Leveraging Artificial Intelligence in Blockchain-Based E-Health for Safer Decision Making Framework,"Abdulatif Alabdulatif, Muneerah Al Asqah, T. Moulahi, S. Zidi",2023,https://www.semanticscholar.org/paper/18048c17e2855c95ae0639a6ecc7af532cb93d4e,"Machine learning-based (ML) systems are becoming the primary means of achieving the highest levels of productivity and effectiveness. Incorporating other advanced technologies, such as the Internet of Things (IoT), or e-Health systems, has made ML the first choice to help automate systems and predict future events. The execution environment of ML is always presenting contrasting types of threats, such as adversarial poisoning of training datasets or model parameters manipulation. Blockchain technology is known as a decentralized network of blocks that symbolizes means of protecting block content integrity and ensuring secure execution of operations.Existing studies partially incorporated Blockchain into the learning process. This paper proposes a more extensive secure way to protect the decision process of the learning model. Using smart contracts, this study executed the model’s decision by the reversal engineering of the learning model’s decision function from the extracted learning parameters. We deploy Support Vector Machine (SVM) and Multi-Layer Perceptron (MLP) classifiers decision functions on-chain for more comprehensive integration of Blockchain. The effectiveness of this proposed approach is measured by applying a case study of medical records. In a safe environment, SVM prediction scores were found to be higher than MLP. However, MLP had higher time efficiency.",Applied Sciences,Semantic Scholar
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility,"Chen Zhao, Xingyuan Dai, Yisheng Lv, Jinglong Niu, Yilun Lin",2023,https://www.semanticscholar.org/paper/03c3bdf9430db2d3c0ddf7abb956222e6c43afbf,"Human and social factors are essential to transportation systems, yet top-down management fails to consider them sufficiently. Consequently, management strategies are not tailored to human needs and are inadequate in providing transportation intelligence. This article investigates a management architecture based on decentralized/distributed autonomous operations/organizations (DAOs) that considers both the technical and societal aspects in our transportation metaverse, TransVerse. This design maps people’s transportation needs in physical space to their digital counterparts in cyberspace, utilizing blockchain technology to guarantee the secure exchange of information and ultimately bring about the Internet of Minds (IoM). With the federated intelligence that emerged in IoM, we can devise reliable and prompt traffic decisions by incorporating consensus, community voting, and smart contracts into the organizational, coordination, and execution structure. Details on operational procedures and key technologies are also covered. To demonstrate the efficacy of DAOs-based management, a case study of world model-driven cooperative signal control is provided, indicating its promising application in future transportation management.","IEEE Transactions on Systems, Man, and Cybernetics: Systems",Semantic Scholar
"Exploring metaverse-enabled innovation in banking: Leveraging NFTS, blockchain, and smart contracts for transformative business opportunities","Azza Mohamed, Rouhi Faisal",2024,https://www.semanticscholar.org/paper/a8c5efc0fb7235a9d7453085073d16f797436f88,"Industries all throughout the world are preparing to understand the ramifications of the emerging metaverse, which is a merger of the virtual and physical worlds. Notably, the banking industry stands on the cusp of a monumental shift, with the metaverse offering unprecedented operational enhancements. While the potential transformations brought about by the metaverse are discussed in various sectors, there is a discernible gap in understanding its specific applications in banking, especially with respect to advanced technologies such as NFTs, blockchain, and smart contracts. The study adopts a comprehensive approach to bridge this knowledge gap, employing convenience non-probability sampling to engage 48 subject matter experts specializing in Metaverse-Enabled Innovation in Banking. Data was collected using both mailed and electronic questionnaires. The empirical analysis offers strong evidence supporting the pivotal role of technologies like Digital Twins, Artificial Intelligence, and Blockchain-Based Assets in the metaverse's preliminary stages. We discover a plethora of business potential for banks within the metaverse, including client communication, cross-border transactions, mortgages, digital assets, green loans, and data security.‎‎",International Journal of Data and Network Science,Semantic Scholar
Artificial Intelligence-Enabled DDoS Detection for Blockchain-Based Smart Transport Systems,"Tong Liu, Fariza Sabrina, Ju-Seong Jang, Wen Xu, Yuanyuan Wei",2021,https://www.semanticscholar.org/paper/fddbc76f7db6c1e62fe2419577e5a9688b8f970e,"A smart public transport system is expected to be an integral part of our human lives to improve our mobility and reduce the effect of our carbon footprint. The safety and ongoing maintenance of the smart public transport system from cyberattacks are vitally important. To provide more comprehensive protection against potential cyberattacks, we propose a novel approach that combines blockchain technology and a deep learning method that can better protect the smart public transport system. By the creation of signed and verified blockchain blocks and chaining of hashed blocks, the blockchain in our proposal can withstand unauthorized integrity attack that tries to forge sensitive transport maintenance data and transactions associated with it. A hybrid deep learning-based method, which combines autoencoder (AE) and multi-layer perceptron (MLP), in our proposal can effectively detect distributed denial of service (DDoS) attempts that can halt or block the urgent and critical exchange of transport maintenance data across the stakeholders. The experimental results of the hybrid deep learning evaluated on three different datasets (i.e., CICDDoS2019, CIC-IDS2017, and BoT-IoT) show that our deep learning model is effective to detect a wide range of DDoS attacks achieving more than 95% F1-score across all three datasets in average. The comparison of our approach with other similar methods confirms that our approach covers a more comprehensive range of security properties for the smart public transport system.",Italian National Conference on Sensors,Semantic Scholar
Decentralized Intestacy Distribution: Exploring Autonomous Systems Leveraging Blockchain Technology,Durga Chavali,2024,https://www.semanticscholar.org/paper/7d8cccb437f429220fb5f1838f692d76cadf99a7,"Intestate succession is a considerable issue in different judicial systems across the globe, which frequently gives rise to intricate and time-consuming processes of inheritance among heirs. With the advent of blockchain technology, there emerge opportunities for the development of an autonomous system that eliminates the needle barriers in the intestacy distribution process. This paper aims to explore the possibilities of applying decentralized autonomous systems for the revolution of intestacy distribution bringing insights into the design parameters, legal implications, and implementation problems. Having performed a comprehensive literature review, we analyze historical solutions for intestate succession and show how blockchain technology has advanced in the legal context, and review relevant case studies and projects. Our research presents a framework for a decentralized system of intestacy distribution, outlining the role of smart contracts, ledger technology, and identity authentication procedures. We talk about the legal and ethical concerns, implementation processes, and evaluation methods for determining the system's functionality. In the final part of the article, decentralized automated inheritance systems are a whole new paradigm in the area of intestacy laws giving less complicated, transparent, and secure options. Yet, a successful application means overcoming technical, cultural, and legal obstacles with the purpose of creating innovative and standard ways of the future. Keywords—Decentralized Systems, Intestacy Distribution, Blockchain Technology, Autonomous Systems, Smart Contracts, Legal Framework, Implementation Challenges, Ethical Considerations",INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,Semantic Scholar
Industry 4.0 Enabled Smart Manufacturing: Unleashing the Power of Artificial Intelligence and Blockchain,"Janmejai Kumar Shah, Rajat Sharma, Abhishek Misra, Manu Sharma, Sudhanshu Joshi, Deepak Kaushal, Suhani Bafila",2023,https://www.semanticscholar.org/paper/627d3f9f08de15fe8a908e24cc0c55544b1099b3,"A new era of manufacturing marked by the convergence of digital technology and physical systems has begun as a result of Industry 4.0's development. This revolution's, smart manufacturing, uses cutting-edge technology like artificial intelligence (AI) and blockchain to promote efficiency, openness, and innovation throughout industrial processes. Using systematic literature review method and thematic analysis, this study looks at the investigation on smart manufacturing industry 4.0, Artificial intelligence and blockchain from 2018 to 2022. The objective of the research is to examine the mutually beneficial interaction between Smart industrial, AI, and Blockchain, outlining how their integration is changing industrial techniques. Furthermore, the study aims to identify potential future trends and research avenues in this area along with development of a conceptual model for future research.",2023 1st DMIHER International Conference on Artificial Intelligence in Education and Industry 4.0 (IDICAIEI),Semantic Scholar
